Line number in file, origami,status,error,error location,orientation,decoded index,decoded origami, decoded data,decoding time,fit quality
397,001110000100000000000000110100010101001000111001,0,8,[(1  4)  (4  0)  (5  1)  (4  7)  (0  6)  (1  0)  (0  7)  (3  5)],1,1,011110011101001111010101000000001100100000111011,0111100110110111,53.081,1.262824258197277
416,000010000001001100110110010001000000100000000001,0,8,[(0  6)  (1  2)  (1  0)  (5  1)  (4  0)  (0  1)  (0  3)  (1  4)],0,8,010110101011101100110110010001001000100001000001,0101101000100000,7.132,0.8996209818429908
417,001000000011110100000100010000111110010000000001,1,7,[(5  2)  (5  5)  (1  0)  (3  3)  (5  1)  (2  1)  (1  6)],0,8,001000001011111101000100010100111110010001100101,0010000001101001,3.707,1.088023370015846
453,010000001000011111001000010100111100000011000011,0,8,[(5  3)  (0  6)  (0  5)  (0  3)  (4  6)  (2  6)  (1  3)  (4  3)],0,13,010101101001011111001010010100111101001011010011,0101011001110010,1.958,1.0940153247631892
444,101000010110000111000101010000001101001100000000,1,6,[(3  3)  (3  4)  (0  5)  (5  4)  (2  6)  (4  5)],3,6,000100001110101100011010111000111000011010100101,0001000001101001,0.544,1.2862408004943784
409,001001100000011100111010001101110100011000101010,1,8,[(1  2)  (1  0)  (4  0)  (0  3)  (4  4)  (1  1)  (4  3)  (1  3)],0,0,001101101111011100111010001101111101111000101010,0011011001010101,0.777,1.4546507825321413
410,111000100000100111010000000101101010100101010000,1,7,[(0  7)  (3  2)  (2  7)  (0  5)  (0  3)  (1  2)  (4  6)],3,14,000010101101010101101100100010111001010011101111,0000101001111101,0.16,1.287177189172592
365,000010100010001010000000001000001001001000110010,1,7,[(1  7)  (0  3)  (4  7)  (0  7)  (5  1)  (3  6)  (4  2)],3,12,010011101100110101000100000000011100010011011000,0100111001000110,1.351,1.4664641731002743
322,001000100010000110010000000010011101110000000000,0,7,[(5  5)  (5  7)  (1  4)  (4  7)  (0  1)  (3  1)  (4  2)],3,9,101000001011111110010010000010011001010001000110,1010000001011000,40.394,0.7161904465067106
425,000000001001000100000100000100101100000001111110,0,8,[(5  7)  (3  4)  (0  7)  (2  0)  (2  2)  (1  2)  (1  1)  (4  5)],0,9,000000011111000110100100000110101100010001111111,0000000100111111,35.241,1.2806951159605084
426,000001001100110101000000000000011100010000011000,1,6,[(0  6)  (5  0)  (0  1)  (0  4)  (5  1)  (2  5)],0,12,010011101100110101000100000000011100010011011000,0100111001000110,0.203,1.1270833994190732
399,000101001001110111000100010101001100011000011001,0,7,[(5  6)  (1  1)  (0  7)  (2  3)  (0  2)  (1  6)  (3  2)],0,1,001101011101111111010100011101001100011000011011,0011010100110110,25.21,1.153080525914456
348,010010010001101000001000000001001100110101001000,1,8,[(3  2)  (1  7)  (4  6)  (5  3)  (3  4)  (4  3)  (3  3)  (3  1)],3,4,000110101111101100111110000100001101100010010010,0001101000010010,0.209,1.1411550686233136
456,010100111001110110011100011010011100001000111100,0,6,[(1  1)  (0  4)  (3  3)  (2  6)  (2  1)  (4  4)],0,1,010110111101110111011110011110011100101000111100,0101101101001111,0.596,1.1985083598863595
412,010100101000110011001000010100110100011011001011,1,7,[(4  4)  (2  5)  (1  7)  (4  0)  (5  3)  (1  3)  (1  6)],0,13,010100101001111111001100010100111100111011011011,0101001001110110,6.98,1.0671083164489163
385,010010001001001001111110010010001100000000000000,0,7,[(4  5)  (3  0)  (0  3)  (1  7)  (1  5)  (3  6)  (3  5)],0,2,010110001001011101111110110011101100010000000000,0101100000000000,16.581,1.3196719451967105
469,001100001011011100111010000101111001101000101000,1,7,[(0  5)  (0  6)  (5  6)  (4  1)  (3  2)  (4  5)  (1  1)],0,0,001101101111011100111010001101111101111000101010,0011011001010101,0.116,0.7815064899618982
478,011010001001000100000110110110001101110001101000,1,7,[(1  1)  (0  5)  (0  6)  (1  5)  (3  6)  (3  5)  (4  2)],0,10,011011101101010100000110110111101111110001101000,0110111000000101,1.005,0.7939306326276304
487,100000110110001110001010001100011111100001001010,1,7,[(2  1)  (4  7)  (0  3)  (0  1)  (0  4)  (3  6)  (1  3)],3,13,010100101001111111001100010100111100111011011011,0101001001110110,1.396,1.4035572893650383
522,010010000100011110001001011110010010000010000100,1,3,[(4  0)  (0  3)  (4  7)],3,3,001000011000010110011110100100011110001000011010,0010000101010110,12.232,1.0271385523460324
497,001001101010000010110000000111011111110000000001,1,3,[(1  7)  (2  5)  (1  4)],0,1,001001101010100110110100000111011111110000000001,0010011001100000,0.104,0.8963894045582449
403,101001000000010111000010001000100011111100000100,0,8,[(3  3)  (0  6)  (3  4)  (3  0)  (1  0)  (2  2)  (1  4)  (1  2)],2,0,011001011011010101000111010111011111110000100000,0110010111000001,2.543,1.4681653592277455
449,000110001110100000011010110000101000011010000001,0,8,[(3  3)  (5  5)  (3  2)  (5  2)  (4  7)  (5  3)  (4  4)  (2  5)],1,1,101101011000111111110010000111101110100000011000,1011010100000110,9.913,1.32378869595716
431,001011010100001110010100000111000010001111111000,1,4,[(3  7)  (4  0)  (5  6)  (4  4)],3,5,010111111101010110111000001010011100001010110100,0101111101001011,0.055,1.2594193344107758
499,010001111101000110111000001010011100001010100100,1,4,[(0  3)  (5  3)  (0  4)  (1  5)],0,5,010111111101010110111000001010011100001010110100,0101111101001011,2.0,1.0731614830774363
515,001001101001010100000110110101101110110001101000,1,5,[(0  4)  (3  4)  (0  1)  (4  3)  (1  1)],0,10,011011101101010100000110110111101111110001101000,0110111000000101,0.941,1.2983488936694985
516,001000001010111100000000010100110110000000100101,1,6,[(2  5)  (4  0)  (5  1)  (1  3)  (2  1)  (4  5)],0,8,001000001011111101000100010100111110010001100101,0010000001101001,0.594,1.237755983262886
438,010101111000010110101000001010011100000010010000,1,7,[(4  6)  (5  5)  (0  4)  (5  2)  (2  3)  (1  1)  (1  3)],0,5,010111111101010110111000001010011100001010110100,0101111101001011,0.633,1.3988597260235178
439,000101000010110101111001011000000000101101110110,1,6,[(1  6)  (1  3)  (0  6)  (4  0)  (2  6)  (4  2)],3,10,011011101101010100000110110111101111110001101000,0110111000000101,1.442,0.9354173799493236
482,001001101101000100010110110110101001110001101000,0,7,[(5  3)  (3  5)  (0  4)  (5  5)  (1  2)  (1  4)  (1  6)],0,10,001011101111101100010110110111101001110001111100,0010111000001111,3.385,1.0984429254295076
