Line number in file, origami,status,error,error location,orientation,decoded index,decoded origami, decoded data,decoding time,fit quality
101011000000101111000000001101011101101000000100,1,4,[(4  7)  (0  3)  (2  4)  (0  6)],3,9,001000001101101110101100000100111101000001111101,0010000001101111,0.05,297,1.2747055859624234
101000010010000111000101010110001001010100001000,1,5,[(0  5)  (4  1)  (2  6)  (4  6)  (1  1)],3,6,000100001110101100011010111000111000011010100101,0001000001101001,0.681,298,0.9257975104745608
001001000010000111000000111000101001110100000100,0,7,[(0  1)  (0  7)  (3  4)  (5  2)  (5  0)  (5  6)  (4  6)],3,4,011001011111100101010111000000111000010010100110,0110010111011001,13.387,300,1.0986074612285892
000100001110101100011010111000111000011000100001,1,2,[(5  5)  (5  0)],0,6,000100001110101100011010111000111000011010100101,0001000001101001,0.009,301,1.2744762810819703
000000011000000110001101000100011111000000001000,0,8,[(5  1)  (5  2)  (5  5)  (0  1)  (2  6)  (2  1)  (3  6)  (4  6)],0,9,010000011000000111001111000100111111001001101100,0100000111001101,4.705,303,1.329827703844473
000100100110011000001101100100111100001100011100,0,8,[(0  0)  (0  1)  (1  0)  (1  4)  (4  2)  (5  0)  (2  1)  (4  3)],1,13,100111001111001110010011010011011110111011010010,1001110011010010,0.579,305,1.1321924547727258
000001000010100010011100111100100111011000100000,0,8,[(4  7)  (4  0)  (0  7)  (1  0)  (1  3)  (0  1)  (3  5)  (1  1)],1,11,001000001111011111110110100111001111100001000101,0010000000101000,13.998,306,1.176449052844835
101001010110000111000111010110001001011000001000,1,2,[(4  7)  (4  1)],3,6,000100001110101100011010111000111000011010100101,0001000001101001,0.007,309,0.8706191650019826
001000100010100110110100000111011010110000000001,1,4,[(0  5)  (1  0)  (4  3)  (4  1)],0,1,001001101010100110110100000111011111110000000001,0010011001100000,0.2,318,1.064642840230967
000100111000001000001100101111001000010000000101,0,8,[(0  4)  (5  6)  (3  7)  (5  1)  (1  2)  (1  7)  (2  6)  (1  5)],0,10,000110111010011100001110101111011000010001000111,0001101101111000,6.765,319,1.0656977974910309
001000100010000110010000000010011101110000000000,0,7,[(4  7)  (5  7)  (4  2)  (3  1)  (0  1)  (5  5)  (1  4)],3,9,101000001011111110010010000010011001010001000110,1010000001011000,0.937,322,0.7161904465067106
000000000000110100010101000111000001100000101000,0,6,[(5  7)  (0  3)  (4  0)  (0  4)  (4  7)  (4  5)],3,2,100101001011100100111000101010001011000000011000,1001010000000110,16.34,332,1.1290204298318791
010110000100010100000000011110011010000110000100,1,4,[(2  0)  (2  7)  (2  4)  (1  6)],3,3,001000011000010110011110100100011110001000011010,0010000101010110,0.039,333,1.1435124771859286
000000001010111101000100010100111100000001000100,1,6,[(0  2)  (5  7)  (5  2)  (4  5)  (1  3)  (4  2)],0,8,001000001011111101000100010100111110010001100101,0010000001101001,0.066,334,1.327179133704727
000011101101110101101000100010111000000011100111,0,2,[(2  6)  (4  4)],0,14,000011101101110101101010100010111000100011100111,0000111001111001,0.006,337,1.394206627251598
011011101101010000000110110001101111100001101000,1,4,[(3  4)  (1  7)  (3  3)  (4  5)],0,10,011011101101010100000110110111101111110001101000,0110111000000101,0.034,338,1.1156674072141306
000100001110101100001010011000101000010010100101,1,4,[(3  7)  (3  0)  (2  3)  (4  6)],0,6,000100001110101100011010111000111000011010100101,0001000001101001,0.046,345,1.0662333333841258
010010010001101000001000000001001100110101001000,1,8,[(1  7)  (5  3)  (3  4)  (3  3)  (4  3)  (3  1)  (3  2)  (4  6)],3,4,000110101111101100111110000100001101100010010010,0001101000010010,0.209,348,1.1411550686233136
000000001110100100001000101000111000011010100101,1,5,[(2  3)  (0  3)  (3  1)  (2  6)  (1  6)],0,6,000100001110101100011010111000111000011010100101,0001000001101001,0.046,353,1.1939206652187604
